
Subjects incorporated to date: 025
Data file started on machine PL_LABXP1

**********************************************************************
Subject 16, 04/21/2009 15:16:36 on PL_LABXP3, refresh 9.99ms, ID LS
  Item       RT
!  Display error at msec 338875.72, tick 33925 in item 68013, frame "----- ---- ---- --- ---- --- -------- ---- ----, --- --- ---- save ---- -- --."
!    was blocked by Flip() not returning for 5.56ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 5.30ms late
 68013    310.99
 68014    346.04
 68015    363.30
 68016    396.70
 41000    388.14
 41001    305.02
 41002    467.70
 41003    448.09
 41004    298.32
 41005    266.88
 41006    431.41
 41007    273.94
 41008    297.60
 41009    292.58
!  Display error at msec 347234.26, tick 34762 in item 41010, frame "--- ------ ------- --- ----, --- --- ----- ----- to --- ------ -- --- -----."
!    was blocked by Flip() not returning for 4.99ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 4.87ms late
 41010    342.72
 41011    315.37
 41012    348.91
 41013    373.99
 41014    314.40
 41015    364.63
 64000    314.37
 64001    281.50
 64002    678.30
 64003    243.91
 64004    246.71
 64005    409.83
 64006    321.25
 64007    340.81
 64008    345.81
 64009    394.32
 64010    311.83
 64011    243.16
 64012    381.76
 64013    375.88
 64014    281.06
 64015    362.37
 29000    359.87
 29001    299.94
 29002    368.76
 29003    359.30
 29004    495.37
 29005    385.36
 29006    308.11
 29007    395.58
 29008    413.68
 29009    223.11
!  Display error at msec 360547.26, tick 36095 in item 29010, frame "--- ------ ---- ------- -- --- ------ --- --- friend ---- - ---- -- --- ----."
!    was blocked by Flip() not returning for 5.32ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 5.21ms late
 29010    356.00
 29011    378.45
 29012    276.87
 29013    274.20
 29014    332.07
 29015    490.16
 29016    476.53
!  Display error at msec 363653.31, tick 36405 in item 66000, frame "----- ------- --- -------- -- ---- ---- ---- ----, --- -- -- ----- ---- -----."
!    was blocked by Flip() not returning for 5.41ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 5.29ms late
 66000    413.81
 66001    340.87
 66002    391.31
 66003    331.50
 66004    305.24
 66005    444.59
 66006    299.47
 66007    333.66
 66008    310.21
 66009    350.81
 66010    246.64
 66011    317.45
 66012    272.30
 66013    253.23
 66014    373.28
 66015    364.47
 36000    469.42
 36001    325.17
 36002    345.79
 36003    351.23
 36004    329.62
 36005    192.47
 36006    753.91
 36007    349.59
 36008    349.57
 36009    304.45
 36010    355.92
 36011    333.97
 36012    272.57
 36013    398.77
 36014    405.13
 36015    294.01
 27000    337.84
 27001    247.00
 27002    364.92
 27003    353.71
 27004    336.55
 27005    304.30
 27006    400.68
 27007    268.17
 27008    208.09
 27009    308.61
 27010    230.96
 27011    283.93
 27012    290.93
 27013    309.61
 27251  -1826.30
 39000    396.32
 39001    282.59
 39002    334.60
 39003    443.95
 39004    371.11
 39005    284.40
 39006    461.10
 39007    302.08
 39008    263.59
 39009    509.25
 39010    371.22
 39011    329.72
 39012    250.77
 39013    360.82
 39251   2176.29
 67000    370.48
 67001    279.79
 67002    790.83
 67003    279.70
 67004    214.66
 67005    200.08
 67006    264.80
 67007    302.48
 67008    230.04
 67009    219.22
 67010    289.95
 67011    253.96
 67012    196.09
 67013    283.06
 67014    250.88
 67015    314.50
 67016    309.97
 67251   1178.39
 56000    338.74
 56001    271.27
 56002    364.59
 56003    280.96
 56004    305.71
 56005    250.01
 56006    230.95
 56007    241.86
 56008    231.06
 56009    282.98
 56010    226.69
 56011    302.18
 56012    250.11
 56013    299.77
 56014    248.88
 56015    244.84
 56016    496.49
 40000    452.83
 40001    233.20
 40002    474.75
 40003    273.12
 40004    281.42
 40005    220.05
 40006    170.12
 40007    489.69
 40008    192.69
 40009    324.90
 40010    241.98
 40011    330.74
 40012    244.70
 40013    210.05
 40014    489.72
 62000    418.65
 62001    331.82
 62002    309.94
 62003    280.53
 62004    293.48
 62005    273.76
 62006    321.11
 62007    304.63
 62008    324.72
 62009    319.91
 62010    304.99
 62011    302.54
 62012    340.53
 62013    273.94
 62014    303.48
 62251  -1544.47
 38000    380.64
 38001    408.04
 38002    722.54
 38003    227.71
 38004    151.96
 38005    197.07
 38006    257.39
 38007    235.62
 38008    200.65
 38009    440.18
 38010    299.95
 38011    262.65
 38012    349.88
 38013    232.43
 38014    469.71
 37000    378.83
 37001    292.81
 37002    298.78
 37003    298.51
 37004    237.78
 37005    472.40
 37006    340.29
 37007    210.07
 37008    591.66
 37009    464.69
 37010    370.98
 37011    327.91
 37012    240.03
 37013    569.60
 37014    416.28
 37251   1140.90
 35000    354.33
 35001    439.84
 35002    330.74
 35003    485.14
 35004    430.05
 35005    356.65
 35006    323.88
 35007    362.12
 35008    241.12
 35009    348.48
 35010    241.81
 35011    342.35
 35012    259.99
 35013    293.05
 35251   1152.14
 70000    477.41
 70001    292.59
