
Subjects incorporated to date: 019
Data file started on machine PL_LABXP4

**********************************************************************
Subject 1, 04/21/2009 10:56:15 on PL_LABXP4, refresh 9.99ms, ID JR
  Item       RT
 68006    350.64
 68007    669.15
 68008    331.04
 68009    441.27
 68010    456.29
 68011    490.62
 68012    441.06
 68013    431.59
 68014    505.19
 68015    399.85
 68016    439.47
 65000    813.33
 65001    346.61
 65002    421.40
 65003    427.09
 65004    717.24
 65005    317.04
 65006    384.82
 65007    441.13
 65008    408.31
 65009    401.78
 65010    394.32
 65011    261.28
 65012    226.51
 65013    301.87
 65014    269.68
 65015    425.93
 65251   1269.45
 39000    596.77
 39001    329.61
 39002    291.00
 39003    324.88
 39004    372.85
 39005    389.54
 39006    383.18
 39007    362.65
 39008    352.12
 39009    342.77
 39010    317.95
 39011    344.73
 39012    339.59
 39013    432.85
 39251   1892.31
 37000    521.12
 37001    324.41
 37002    589.28
 37003    509.38
 37004    313.77
 37005    376.37
 37006    333.46
 37007    269.81
 37008    305.21
 37009    278.42
 37010    311.27
 37011    276.38
 37012    269.99
 37013    369.98
 37014    414.80
 37251   1686.02
 44000    444.74
 44001    269.69
 44002    201.98
 44003    199.78
 44004    293.70
 44005    280.89
 44006    523.08
 44007    271.62
 44008    347.14
 44009    309.86
 44010    307.25
 44011    307.80
 44012    370.86
 44013    209.73
 44014    294.30
 44251   1817.72
 50000    536.50
 50001    269.16
 50002    259.71
 50003    193.83
 50004    189.79
 50005    162.81
 50006    469.43
 50007    243.32
 50008    309.63
 50009    231.05
 50010    229.73
 50011    263.62
 50012    260.17
 50013    325.09
 57000    545.75
 57001    218.95
 57002    239.21
 57003    234.60
 57004    234.98
 57005    238.07
 57006    223.66
 57007    215.26
 57008    246.14
 57009    409.40
 57010    312.02
 57011    215.59
 57012    234.80
 57013    298.39
 57014    466.01
 42000    416.98
 42001    201.25
 42002    242.11
 42003    189.76
 42004    409.51
 42005    228.74
 42006    402.85
 42007    298.20
 42008    230.13
 42009    234.26
 42010    309.64
 42011    257.02
 42012    422.50
 42013    302.23
 42251   1238.44
 60000    443.12
 60001    179.88
 60002    644.95
 60003    275.67
 60004    230.92
 60005    224.26
 60006    209.77
 60007    202.78
 60008    298.33
 60009    319.66
 60010    386.23
 60011    312.65
 60012    225.18
 60013    259.71
 60014    249.72
 60015    267.75
 60016    363.62
 60251    837.19
 64000    623.02
 64001    282.66
 64002    287.57
 64003    239.74
 64004    244.65
 64005    251.57
 64006    222.22
 64007    179.81
 64008    228.75
 64009   1438.19
 64010    190.68
 64011    202.55
 64012    189.79
 64013    189.80
 64014    275.70
 64015    492.51
 36000    613.92
 36001    266.87
 36002    199.77
 36003    251.50
 36004    472.94
 36005    403.24
 36006    336.16
 36007    349.73
 36008    235.11
 36009    258.73
 36010    234.87
 36011    213.55
 36012    194.63
 36013    225.79
 36014    218.22
 36015    389.83
 27000    510.89
 27001    220.04
