
Subjects incorporated to date: 019
Data file started on machine PL_LABXP1

**********************************************************************
Subject 1, 05/04/2009 15:34:38 on PL_LABXP1, refresh 9.99ms, ID EP
  Item       RT
 22000   3533.39
 22001   1010.32
 22002   2761.61
 22003    514.96
 22004    694.45
 22005    976.32
 22006   1702.85
 22007    833.40
 22008    808.96
 22009   1997.41
 22010   1200.47
 22011    669.17
 22012    789.00
  3000    524.62
  3001   1767.72
  3002    421.98
  3003    553.63
  3004    743.85
  3005    575.15
  3006   1003.35
  3007    756.50
  3008    619.05
  3009   1043.24
  3010    601.44
  3011    503.99
  3012    763.36
112000    375.42
112001   -576.86
118000    340.31
118001    523.32
118002    494.61
118003    562.82
118004    559.41
118005    529.01
118006    966.70
118007    751.30
118008    442.11
118009    565.55
118010    589.32
118011    776.65
118012    586.91
118013    789.06
118014    462.60
 58000    422.42
 58001    764.36
 58002    441.03
 58003    895.45
 58004    615.15
 58005   1498.05
 58006    659.19
 58007    838.95
 58008    574.53
 58009    611.29
 58010    682.14
 58011    579.32
 58012    544.39
 58013    629.38
 58014    729.41
 24000    422.61
 24001    419.49
 24002   -789.01
 69000    481.30
 69001    999.83
 69002    703.42
 69003    608.11
 69004    884.05
 69005    659.19
 69006    933.79
 69007   1435.76
 69008   1273.56
 69009    619.23
 69010    579.29
 69011   1188.50
 69012   1001.12
 69013    704.72
 69014    480.64
120000   6871.02
120001    843.51
120002   1174.44
120003   3688.67
120004    593.31
120005    664.37
120006    479.69
120007    489.41
120008   1496.41
120009    448.77
120010    825.36
120011    811.12
120012    583.52
120013    623.74
 70000   6624.97
 70001    639.20
 70002   1177.30
 70003   1169.24
 70004    926.85
 70005    675.30
 70006    795.05
 70007    957.36
 70008    619.01
 70009    551.51
 70010    499.40
 70011    553.50
 70012    684.23
 70013    580.32
  4000    364.61
  4001    570.04
  4002    402.72
  4003    591.15
  4004    506.20
  4005    534.41
  4006   1321.51
  4007    917.57
  4008    645.43
  4009    570.90
  4010    957.02
  4011    789.63
  4012    479.78
  4013    569.29
 32000    459.53
 32001    543.77
 32002   1275.48
 32003    639.91
 32004   1124.11
 32005   1060.57
 32006    481.69
 32007    543.73
 32008   1078.69
 32009    702.80
 32010    593.56
 32011    529.35
 32012    687.28
 32013    914.59
 18000    371.03
 18001    536.42
 18002    529.04
 18003    537.79
 18004    475.56
 18005    908.84
 18006    650.53
 18007    924.54
 18008    529.31
 18009    649.19
 18010    590.86
 18011    666.84
 18012   1219.90
 18013    837.40
 18014    533.04
127000    399.87
127001    562.24
127002    781.36
127003    603.41
127004   1035.78
127005    659.42
127006    623.92
127007    581.76
127008    991.71
127009   1068.84
127010    906.90
127011   1947.83
127012    599.50
127013    592.15
128000    391.24
128001    759.45
128002    933.75
128003    593.05
128004    659.44
128005    631.17
128006    715.28
128007    690.06
128008   1114.37
128009    709.49
128010   1616.09
128011    717.24
128012    722.05
128013    604.72
117000    399.78
117001    459.45
117002    948.78
117003    659.19
117004    564.06
117005    692.36
117006    542.75
117007    579.28
117008    746.16
117009    651.64
117010    521.75
117011    679.14
117012    689.74
117013    617.38
117014   1189.74
122000    416.31
122001    738.90
122002    589.25
122003   1467.02
122004    507.65
122005   1078.61
122006    579.87
122007    735.30
122008    832.54
122009   -822.09
 55000    529.34
 55001    536.34
 55002   1046.18
 55003    603.64
 55004    629.65
 55005    792.78
 55006    549.78
 55007    561.39
 55008    739.08
 55009    807.67
 55010    773.29
 55011    829.71
 55012    701.75
 55013    859.76
 55014    599.43
 55015    865.45
 55016    594.60
 38000    444.09
 38001    543.49
 38002    666.22
 38003    664.75
 38004    559.68
 38005    576.80
 38006    656.17
 38007    655.88
 38008   1807.82
 38009   1133.16
 38010    621.95
 38011   1364.24
 38012    519.63
 38013    602.74

!  Concatenated by UnloadAZK 2.00 at 3:52:39 PM 5/4/2009
**********************************************************************
Subject 2, 05/04/2009 13:28:24 on PL_LABXP3, refresh 9.99ms, ID MA
  Item       RT
101000   3667.75
101001   1508.10
101002   2596.71
101003   1317.84
101004   1208.37
101005    642.58
